title,genre,director,rating,year,poster,description,,
Vikram,Action,Lokesh Kanagaraj,8.4,2022,D:\project\p2\vikram.jpg,A special team must eliminate a masked assassin while uncovering a larger conspiracy.,,
Master,Action,Lokesh Kanagaraj,7.7,2021,D:\project\p2\images.jpg,An alcoholic professor is sent to a juvenile school where he clashes with a ruthless gangster.,,
Kaithi,Action,Lokesh Kanagaraj,8.4,2019,D:\project\p2\images (1).jpg,A just-released convict gets caught up in a police operation on the same night.,,
Vada Chennai,Action,Vetrimaaran,8.5,2018,D:\project\p2\images (2).jpg,A carrom player gets pulled into the violent politics of North Chennai's underworld.,,
Jigarthanda,Action,Karthik Subbaraj,8.3,2014,D:\project\p2\images (3).jpg,A filmmaker tries to base a movie on a gangster, leading to unexpected consequences.,
96,Drama,C. Prem Kumar,8.5,2018,D:\project\p2\images (4).jpg,Former classmates reconnect at a school reunion and revisit their unspoken love.,,
Asuran,Drama,Vetrimaaran,8.4,2019,D:\project\p2\images (5).jpg,A farmer fights to protect his family and land from a powerful, oppressive landlord.,
Pariyerum Perumal,Drama,Mari Selvaraj,8.6,2018,D:\project\p2\images (6).jpg,A law student's friendship with a girl exposes deep caste prejudice in his town.,,
Visaranai,Drama,Vetrimaaran,8.5,2015,D:\project\p2\images (7).jpg,Four migrant workers are wrongfully arrested and brutalized by corrupt police.,,
Kadaisi Vivasayi,Drama,M. Manikandan,8.7,2022,D:\project\p2\images (8).jpg,The last farmer in a village becomes the center of a bureaucratic investigation.,,
Comali,Comedy,Pradeep Ranganathan,6.9,2019,D:\project\p2\images (9).jpg,A man wakes from a decade-long coma and struggles to adjust to the modern world.,,
Soodhu Kavvum,Comedy,Nalan Kumarasamy,8.2,2013,D:\project\p2\images (10).jpg,A group of friends plan a kidnapping scheme that spirals into dark comic chaos.,,
LKG,Comedy,K. Rajesh,6.5,2019,D:\project\p2\images (11).jpg,A small-time politician contests a local election with unexpected complications.,,
Naduvula Konjam Pakkatha Kaanom,Comedy,Balaji Tharaneetharan,8.5,2012,D:\project\p2\images (12).jpg,A groom-to-be loses his short-term memory days before his wedding.,,
Varisu,Comedy,Ramesh Thamilmani,7.4,2021,D:\project\p2\images (13).jpg,College friends navigate love, rivalry, and mischief across their campus years.
Ratsasan,Thriller,Ramkumar Balakrishnan,8.6,2018,D:\project\p2\images (14).jpg,A rookie cop hunts a serial killer targeting schoolgirls in the city.,,
Andhaghaaram,Thriller,V. Vishnu Vardhan,7.9,2020,D:\project\p2\images (15).jpg,Three interconnected stories blend horror and mystery around a strange death.,,
Thegidi,Thriller,Rajesh M Selva,7.8,2014,D:\project\p2\images (16).jpg,A private detective and a journalist uncover a chain of murders across the city.,,
Iraivi,Thriller,Karthik Subbaraj,7.9,2016,D:\project\p2\images (17).jpg,Three couples' lives intertwine through betrayal, ambition, and consequence.
Aval,Thriller,Milind Rau,7.2,2017,D:\project\p2\images (18).jpg,A newly married couple encounters an evil presence tied to their new home.,,
